Telemetry_ID,Trip_ID,Timestamp,Minute_Offset,Latitude,Longitude,Altitude_Meters,Speed_KMH,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z,Phone_Mount
TEL_000027,T001,2026-08-10 16:58:00,27,12.97804,77.538873,873.9,24.47,0.596,0.171,9.482,-5.89,6.95,-8.69,Handlebar_Mount
TEL_000028,T001,2026-08-10 16:59:00,28,12.97805,77.538888,875.2,19.75,0.404,-1.754,9.733,24.63,13.43,4.36,Handlebar_Mount
TEL_000029,T002,2026-08-11 17:14:00,1,12.970808,77.522868,887.9,9.68,-0.612,0.705,9.546,18.99,12.17,-0.05,Handlebar_Mount
TEL_000030,T002,2026-08-11 17:15:00,2,12.970816,77.522879,875.7,14.27,-0.979,-1.048,9.455,-5.21,-5.85,7.88,Handlebar_Mount
TEL_000031,T002,2026-08-11 17:16:00,3,12.970843,77.522919,893.1,25.82,1.257,0.726,8.762,4.53,9.98,-1.04,Handlebar_Mount
TEL_000032,T002,2026-08-11 17:17:00,4,12.970869,77.522938,881.3,24.7,-0.321,-1.444,9.127,-12.19,9.57,-4.29,Handlebar_Mount
TEL_000033,T002,2026-08-11 17:18:00,5,12.97084,77.522959,874.9,27.33,-0.98,-1.711,9.767,-4.66,3.13,3.22,Handlebar_Mount
TEL_000034,T002,2026-08-11 17:19:00,6,12.970857,77.523007,883.2,31.07,0.468,1.204,10.268,4.63,5.97,-2.65,Handlebar_Mount
TEL_000035,T002,2026-08-11 17:20:00,7,12.970891,77.522957,881.5,32.09,0.574,-1.033,10.142,-4.01,22.88,-23.9,Handlebar_Mount
TEL_000036,T002,2026-08-11 17:21:00,8,12.970849,77.522988,875.6,39.57,0.481,-1.264,10.539,-18.31,17.19,-32.75,Handlebar_Mount
TEL_000037,T002,2026-08-11 17:22:00,9,12.9708,77.523058,889.2,45.89,0.679,-0.026,9.779,-2.82,-5.1,10.09,Handlebar_Mount
TEL_000038,T002,2026-08-11 17:23:00,10,12.970817,77.523083,877.6,31.62,0.039,0.541,10.659,-8.15,35.71,35.08,Handlebar_Mount
TEL_000039,T002,2026-08-11 17:24:00,11,12.970776,77.523023,881.1,38.88,-0.824,0.414,10.267,-13.44,-7.26,-9.52,Handlebar_Mount
TEL_000040,T002,2026-08-11 17:25:00,12,12.970816,77.522964,889.4,38.55,0.152,0.581,9.005,2.0,-13.68,6.19,Handlebar_Mount
TEL_000041,T002,2026-08-11 17:26:00,13,12.970859,77.523026,877.9,40.33,0.039,0.625,9.715,-13.54,18.35,15.32,Handlebar_Mount
TEL_000042,T002,2026-08-11 17:27:00,14,12.970879,77.523055,880.4,38.4,-0.046,-0.758,9.544,6.72,-0.46,11.3,Handlebar_Mount
TEL_000043,T002,2026-08-11 17:28:00,15,12.970913,77.523103,872.6,31.44,0.727,0.222,9.857,-7.26,-8.65,-9.78,Handlebar_Mount
TEL_000044,T002,2026-08-11 17:29:00,16,12.970883,77.523146,879.3,27.66,1.801,-0.132,9.929,0.11,-0.29,0.83,Handlebar_Mount
TEL_000045,T002,2026-08-11 17:30:00,17,12.970902,77.523173,862.2,34.85,0.728,-0.316,9.472,19.44,23.4,-14.01,Handlebar_Mount
TEL_000046,T002,2026-08-11 17:31:00,18,12.970934,77.523196,885.1,30.03,0.36,-0.177,9.656,11.32,1.5,-4.12,Handlebar_Mount
TEL_000047,T002,2026-08-11 17:32:00,19,12.970902,77.523149,883.1,30.13,0.569,-1.129,10.327,1.15,11.74,-26.33,Handlebar_Mount
TEL_000048,T002,2026-08-11 17:33:00,20,12.970923,77.52321,879.1,39.66,0.415,-0.806,10.364,2.61,-15.01,-4.33,Handlebar_Mount
TEL_000049,T002,2026-08-11 17:34:00,21,12.970886,77.523157,877.3,34.42,0.529,-1.127,8.758,9.97,-26.04,-19.78,Handlebar_Mount
TEL_000050,T002,2026-08-11 17:35:00,22,12.970926,77.523186,885.3,37.39,-0.934,-0.781,10.332,18.23,-33.41,-1.7,Handlebar_Mount
TEL_000051,T002,2026-08-11 17:36:00,23,12.970959,77.523138,880.6,31.17,0.208,1.483,10.618,7.6,6.47,8.72,Handlebar_Mount
TEL_000052,T002,2026-08-11 17:37:00,24,12.970928,77.523183,891.5,29.03,-0.629,-2.063,9.751,-7.25,10.13,-12.73,Handlebar_Mount
TEL_000053,T002,2026-08-11 17:38:00,25,12.970948,77.523124,882.2,38.34,0.26,-0.396,9.948,-1.8,14.49,-1.66,Handlebar_Mount
TEL_000054,T002,2026-08-11 17:39:00,26,12.970908,77.523065,884.9,38.29,0.425,0.148,8.796,-0.04,-7.91,-21.27,Handlebar_Mount
TEL_000055,T002,2026-08-11 17:40:00,27,12.970872,77.523012,884.9,34.37,-0.439,-0.268,10.189,5.66,-6.75,25.37,Handlebar_Mount
TEL_000056,T002,2026-08-11 17:41:00,28,12.970889,77.523063,883.1,33.16,-0.924,-0.198,10.3,8.52,1.44,-3.17,Handlebar_Mount
TEL_000057,T002,2026-08-11 17:42:00,29,12.970853,77.523089,885.3,34.07,0.301,0.506,9.161,2.17,-15.32,2.91,Handlebar_Mount
TEL_000058,T002,2026-08-11 17:43:00,30,12.970809,77.523121,878.5,41.39,0.657,-0.064,9.549,0.77,-5.55,-7.22,Handlebar_Mount
TEL_000059,T002,2026-08-11 17:44:00,31,12.970762,77.523053,881.4,44.17,0.289,-0.716,10.331,-5.2,12.52,-27.02,Handlebar_Mount
TEL_000060,T002,2026-08-11 17:45:00,32,12.970784,77.523116,877.8,40.61,-0.014,-3.089,9.477,-1.38,-0.29,8.97,Handlebar_Mount
TEL_000061,T002,2026-08-11 17:46:00,33,12.970829,77.52318,878.8,42.1,-0.197,-0.336,9.349,-7.35,-12.05,-18.82,Handlebar_Mount
TEL_000062,T002,2026-08-11 17:47:00,34,12.970793,77.523232,879.3,33.6,0.561,-0.519,10.367,0.4,2.92,3.84,Handlebar_Mount
TEL_000063,T002,2026-08-11 17:48:00,35,12.970821,77.523253,883.2,26.89,-0.351,-0.103,10.153,4.07,-14.99,6.56,Handlebar_Mount
TEL_000064,T002,2026-08-11 17:49:00,36,12.970851,77.523295,868.8,27.58,-0.002,0.136,10.22,7.56,16.54,-1.22,Handlebar_Mount
TEL_000065,T003,2026-08-12 19:27:00,1,13.004091,77.511406,885.5,6.82,-0.597,-0.772,9.832,-5.05,10.89,0.64,Handlebar_Mount
TEL_000066,T003,2026-08-12 19:28:00,2,13.004104,77.511387,881.6,12.36,0.383,-0.303,9.364,-2.15,-14.03,-3.73,Handlebar_Mount
TEL_000067,T003,2026-08-12 19:29:00,3,13.004113,77.511361,884.1,17.04,0.389,-0.033,10.016,5.11,18.81,-7.59,Handlebar_Mount
TEL_000068,T003,2026-08-12 19:30:00,4,13.004088,77.511398,879.5,23.61,-0.945,0.603,9.569,1.71,3.2,20.93,Handlebar_Mount
TEL_000069,T003,2026-08-12 19:31:00,5,13.00412,77.511351,877.6,30.06,0.136,-0.357,9.39,-8.21,1.6,15.03,Handlebar_Mount
TEL_000070,T003,2026-08-12 19:32:00,6,13.004083,77.511297,872.8,35.39,-0.368,0.294,10.458,-16.28,8.79,-1.83,Handlebar_Mount
TEL_000071,T003,2026-08-12 19:33:00,7,13.00411,77.511257,878.9,25.95,0.496,-0.817,10.333,-4.51,-15.36,3.41,Handlebar_Mount
TEL_000072,T003,2026-08-12 19:34:00,8,13.004142,77.511303,882.5,29.68,1.162,-0.982,9.409,-1.65,-8.53,12.57,Handlebar_Mount
TEL_000073,T003,2026-08-12 19:35:00,9,13.004103,77.511331,879.2,36.74,-0.337,-0.335,9.656,-19.85,6.17,22.77,Handlebar_Mount
TEL_000074,T003,2026-08-12 19:36:00,10,13.004132,77.511374,872.7,28.03,0.424,-1.141,9.213,2.53,5.34,-20.81,Handlebar_Mount
TEL_000075,T003,2026-08-12 19:37:00,11,13.004175,77.511436,884.7,40.59,-0.27,1.57,10.575,-0.58,10.82,4.6,Handlebar_Mount
TEL_000076,T003,2026-08-12 19:38:00,12,13.004135,77.511495,875.6,38.06,0.033,-0.259,9.414,-0.72,14.2,-20.62,Handlebar_Mount
TEL_000077,T003,2026-08-12 19:39:00,13,13.004097,77.51144,887.0,35.75,-0.512,-0.143,10.184,-8.5,11.87,2.74,Handlebar_Mount
TEL_000078,T003,2026-08-12 19:40:00,14,13.004061,77.511466,880.6,34.48,-0.453,0.048,10.191,3.15,10.74,9.78,Handlebar_Mount
TEL_000079,T003,2026-08-12 19:41:00,15,13.004082,77.511528,879.9,40.08,1.528,0.321,9.492,1.64,-12.38,-5.17,Handlebar_Mount
TEL_000080,T003,2026-08-12 19:42:00,16,13.004034,77.511597,884.7,44.92,0.084,0.03,8.809,-8.18,-3.09,8.59,Handlebar_Mount
TEL_000081,T003,2026-08-12 19:43:00,17,13.004057,77.511531,887.4,42.97,1.401,-1.249,9.466,14.25,-19.6,-1.48,Handlebar_Mount
TEL_000082,T003,2026-08-12 19:44:00,18,13.004009,77.511461,879.2,45.79,0.182,0.395,10.514,-5.37,-0.31,-7.7,Handlebar_Mount
TEL_000083,T003,2026-08-12 19:45:00,19,13.004032,77.511529,877.7,44.78,0.223,-0.924,9.063,-0.69,9.69,5.24,Handlebar_Mount
TEL_000084,T003,2026-08-12 19:46:00,20,13.004057,77.5116,876.3,45.67,-0.898,0.061,9.553,-3.95,-18.68,13.95,Handlebar_Mount
TEL_000085,T003,2026-08-12 19:47:00,21,13.004026,77.511621,878.4,28.52,-1.508,0.403,9.713,7.76,13.14,9.9,Handlebar_Mount
TEL_000086,T003,2026-08-12 19:48:00,22,13.004007,77.511649,889.9,17.92,-0.724,-0.105,9.816,3.59,-7.07,-2.66,Handlebar_Mount
TEL_000087,T004,2026-08-13 20:33:00,1,12.993207,77.520163,884.0,4.1,0.354,-0.586,9.454,-6.48,-5.5,8.4,Handlebar_Mount
TEL_000088,T004,2026-08-13 20:34:00,2,12.993198,77.520176,884.2,8.63,0.117,0.147,9.895,2.23,7.42,-5.63,Handlebar_Mount
TEL_000089,T004,2026-08-13 20:35:00,3,12.993173,77.520212,884.5,23.41,0.652,-1.291,9.614,1.65,-7.25,-4.68,Handlebar_Mount
TEL_000090,T004,2026-08-13 20:36:00,4,12.99314,77.520235,869.9,30.66,0.664,-0.256,8.933,-10.68,13.31,13.71,Handlebar_Mount
TEL_000091,T004,2026-08-13 20:37:00,5,12.993102,77.52018,895.7,36.0,1.238,-1.721,9.181,-1.86,5.41,0.58,Handlebar_Mount
TEL_000092,T004,2026-08-13 20:38:00,6,12.993123,77.52021,878.7,39.31,0.12,-1.305,10.005,-4.26,19.49,-33.83,Handlebar_Mount
TEL_000093,T004,2026-08-13 20:39:00,7,12.993145,77.520275,880.9,42.18,0.387,-0.151,9.219,-7.6,-10.45,-0.47,Handlebar_Mount
TEL_000094,T004,2026-08-13 20:40:00,8,12.993101,77.520307,889.2,41.97,0.659,-0.792,9.229,-1.8,6.6,-13.75,Handlebar_Mount
TEL_000095,T004,2026-08-13 20:41:00,9,12.99312,77.520251,880.2,36.71,-0.053,1.118,9.894,0.51,5.66,-8.11,Handlebar_Mount
TEL_000096,T004,2026-08-13 20:42:00,10,12.993138,77.520277,876.6,33.97,1.225,-1.122,10.347,-5.54,-8.62,-17.41,Handlebar_Mount
TEL_000097,T004,2026-08-13 20:43:00,11,12.993177,77.520305,876.5,36.21,0.217,-0.95,9.732,3.31,-2.22,8.87,Handlebar_Mount
TEL_000098,T004,2026-08-13 20:44:00,12,12.99314,77.520251,888.5,34.9,0.115,-0.438,10.364,-5.53,20.07,-6.09,Handlebar_Mount
TEL_000099,T004,2026-08-13 20:45:00,13,12.993171,77.520297,871.8,29.83,0.843,0.312,10.331,-2.19,-8.98,9.54,Handlebar_Mount
TEL_000100,T004,2026-08-13 20:46:00,14,12.993134,77.520242,874.5,35.58,1.456,-0.818,9.449,7.72,2.35,6.91,Handlebar_Mount
TEL_000101,T004,2026-08-13 20:47:00,15,12.993173,77.5203,886.6,37.2,-0.37,-0.115,9.907,-5.03,-9.9,-27.32,Handlebar_Mount
TEL_000102,T004,2026-08-13 20:48:00,16,12.993192,77.520245,886.1,35.77,-0.21,0.999,9.641,3.07,-10.96,-0.28,Handlebar_Mount
TEL_000103,T004,2026-08-13 20:49:00,17,12.993154,77.5203,876.6,36.05,-0.216,0.154,10.384,-1.22,8.5,1.87,Handlebar_Mount
TEL_000104,T004,2026-08-13 20:50:00,18,12.99317,77.520252,870.0,31.16,-1.128,0.048,9.492,6.51,5.39,-7.71,Handlebar_Mount
TEL_000105,T004,2026-08-13 20:51:00,19,12.993189,77.520196,879.1,36.36,0.476,1.754,10.07,16.02,-8.44,5.22,Handlebar_Mount
TEL_000106,T004,2026-08-13 20:52:00,20,12.993157,77.520149,877.4,30.94,-0.006,0.023,10.301,3.8,-0.3,15.2,Handlebar_Mount
TEL_000107,T004,2026-08-13 20:53:00,21,12.993198,77.520179,865.6,38.98,0.246,-0.64,9.769,-27.11,-1.3,13.31,Handlebar_Mount
TEL_000108,T004,2026-08-13 20:54:00,22,12.993217,77.520125,880.7,35.11,-0.898,0.432,9.772,3.34,-8.26,-13.53,Handlebar_Mount
TEL_000109,T004,2026-08-13 20:55:00,23,12.993257,77.520183,872.3,37.93,-0.212,-0.491,9.812,1.36,1.93,-5.43,Handlebar_Mount
TEL_000110,T004,2026-08-13 20:56:00,24,12.993214,77.520121,878.0,40.48,-0.146,-0.835,9.107,7.91,-6.09,-1.8,Handlebar_Mount
TEL_000111,T004,2026-08-13 20:57:00,25,12.993255,77.52018,884.7,38.51,-0.733,-0.186,10.158,10.94,-11.92,5.42,Handlebar_Mount
TEL_000112,T004,2026-08-13 20:58:00,26,12.993216,77.520124,885.8,36.66,-0.534,-1.11,9.535,17.75,-8.24,-0.14,Handlebar_Mount
TEL_000113,T004,2026-08-13 20:59:00,27,12.993251,77.520175,879.6,33.22,-1.593,-0.7,9.138,1.66,13.71,3.99,Handlebar_Mount
TEL_000114,T004,2026-08-13 21:00:00,28,12.993291,77.520204,878.9,37.79,0.56,0.221,9.848,1.35,-14.3,-8.97,Handlebar_Mount
TEL_000115,T004,2026-08-13 21:01:00,29,12.993309,77.52023,886.2,33.62,0.909,-0.642,10.505,-10.62,8.16,-13.73,Handlebar_Mount
TEL_000116,T004,2026-08-13 21:02:00,30,12.993332,77.520195,875.7,22.21,-0.101,-0.638,10.236,0.28,-8.2,13.28,Handlebar_Mount
TEL_000117,T004,2026-08-13 21:03:00,31,12.993346,77.520216,880.2,13.24,-0.037,0.77,9.77,-2.96,-12.13,-10.93,Handlebar_Mount
TEL_000118,T005,2026-08-14 22:31:00,1,12.983535,77.547112,881.5,7.47,-0.772,1.645,10.299,-2.21,3.69,-3.1,Handlebar_Mount
TEL_000119,T005,2026-08-14 22:32:00,2,12.983542,77.54709,875.9,14.05,-0.57,0.67,10.251,-1.12,10.66,16.99,Handlebar_Mount
TEL_000120,T005,2026-08-14 22:33:00,3,12.983569,77.547129,883.3,25.47,-0.478,0.258,8.746,-0.32,-11.68,-16.75,Handlebar_Mount
TEL_000121,T005,2026-08-14 22:34:00,4,12.983601,77.547176,878.2,30.44,-0.599,0.13,9.087,8.14,2.47,-2.5,Handlebar_Mount
TEL_000122,T005,2026-08-14 22:35:00,5,12.983635,77.547225,879.3,31.64,0.755,-1.035,10.377,4.67,18.53,10.63,Handlebar_Mount
TEL_000123,T005,2026-08-14 22:36:00,6,12.983653,77.547171,875.9,35.12,0.454,-0.628,9.548,3.36,-10.65,-1.69,Handlebar_Mount
TEL_000124,T005,2026-08-14 22:37:00,7,12.983686,77.547194,880.1,30.57,1.02,-1.359,9.466,-6.01,14.0,23.54,Handlebar_Mount
TEL_000125,T005,2026-08-14 22:38:00,8,12.983706,77.547252,875.0,37.35,-0.695,0.587,10.747,-5.33,19.27,-0.28,Handlebar_Mount
TEL_000126,T005,2026-08-14 22:39:00,9,12.983726,77.547312,887.6,39.13,0.915,0.065,10.279,-2.42,-10.53,-12.66,Handlebar_Mount
TEL_000127,T005,2026-08-14 22:40:00,10,12.98368,77.547345,881.5,43.36,1.298,-0.819,9.234,4.66,-2.72,17.09,Handlebar_Mount
TEL_000128,T005,2026-08-14 22:41:00,11,12.983722,77.547406,883.5,39.72,1.173,0.574,9.029,5.88,-7.0,23.52,Handlebar_Mount
TEL_000129,T005,2026-08-14 22:42:00,12,12.983764,77.547466,875.1,39.17,0.102,0.08,9.705,-2.77,8.74,-6.5,Handlebar_Mount
TEL_000130,T005,2026-08-14 22:43:00,13,12.983729,77.547416,870.3,32.8,-0.646,-0.672,9.802,12.54,-6.31,-4.25,Handlebar_Mount
TEL_000131,T005,2026-08-14 22:44:00,14,12.983701,77.547457,882.0,26.55,-0.166,-0.121,9.584,13.52,13.92,4.92,Handlebar_Mount
TEL_000132,T005,2026-08-14 22:45:00,15,12.983681,77.547471,881.9,19.08,-0.745,-0.446,9.711,-1.05,-9.88,4.3,Handlebar_Mount
TEL_000133,T006,2026-08-15 23:33:00,1,12.998316,77.531733,879.1,5.77,0.633,0.349,11.044,-8.08,7.43,-33.08,Handlebar_Mount
TEL_000134,T006,2026-08-15 23:34:00,2,12.998327,77.53174,878.5,10.0,-0.559,-0.517,10.785,-7.63,1.47,-6.76,Handlebar_Mount
TEL_000135,T006,2026-08-15 23:35:00,3,12.998347,77.531755,886.5,19.19,-0.054,0.706,9.359,25.54,3.59,-2.53,Handlebar_Mount
TEL_000136,T006,2026-08-15 23:36:00,4,12.998362,77.531776,880.3,27.53,0.14,-1.465,10.132,10.95,14.26,5.08,Handlebar_Mount
TEL_000137,T006,2026-08-15 23:37:00,5,12.99833,77.53173,881.7,30.34,0.721,-0.515,10.064,-3.23,-11.46,-4.69,Handlebar_Mount
TEL_000138,T006,2026-08-15 23:38:00,6,12.998361,77.531774,877.5,29.13,-0.029,-0.846,10.028,9.39,-10.34,-12.92,Handlebar_Mount
TEL_000139,T006,2026-08-15 23:39:00,7,12.998327,77.531799,880.3,32.19,-0.706,-1.007,9.306,5.86,-13.32,3.87,Handlebar_Mount
TEL_000140,T006,2026-08-15 23:40:00,8,12.998345,77.531852,889.7,34.39,-0.321,0.195,10.175,-1.35,-9.41,12.0,Handlebar_Mount
TEL_000141,T006,2026-08-15 23:41:00,9,12.998378,77.531876,884.4,31.67,0.467,-0.382,9.206,-5.4,5.63,-4.45,Handlebar_Mount
TEL_000142,T006,2026-08-15 23:42:00,10,12.998394,77.531923,881.4,30.52,-0.474,-0.8,10.104,1.44,4.21,7.19,Handlebar_Mount
TEL_000143,T006,2026-08-15 23:43:00,11,12.998414,77.531866,874.9,37.54,-1.093,-3.099,9.667,-4.58,-15.85,-19.99,Handlebar_Mount
TEL_000144,T006,2026-08-15 23:44:00,12,12.998453,77.531893,885.0,36.21,-0.212,-2.62,10.107,-5.57,10.12,5.44,Handlebar_Mount
TEL_000145,T006,2026-08-15 23:45:00,13,12.998498,77.531959,870.6,42.92,1.464,-0.621,9.679,-2.26,-1.44,-5.33,Handlebar_Mount
TEL_000146,T006,2026-08-15 23:46:00,14,12.998519,77.53199,879.5,39.65,-0.605,0.84,9.939,7.19,10.83,6.0,Handlebar_Mount
TEL_000147,T006,2026-08-15 23:47:00,15,12.998561,77.532051,877.4,39.64,0.813,0.056,10.111,1.91,11.7,-12.98,Handlebar_Mount
TEL_000148,T006,2026-08-15 23:48:00,16,12.998605,77.532115,887.0,41.79,-0.619,-0.311,10.191,-2.84,-0.93,-4.89,Handlebar_Mount
TEL_000149,T006,2026-08-15 23:49:00,17,12.998564,77.532175,884.0,39.46,-0.652,-0.717,8.881,-0.16,-7.48,4.94,Handlebar_Mount
TEL_000150,T006,2026-08-15 23:50:00,18,12.998602,77.532231,885.8,36.2,-1.815,-1.132,8.231,18.23,-15.46,-7.88,Handlebar_Mount
TEL_000151,T006,2026-08-15 23:51:00,19,12.998567,77.532181,884.1,32.48,0.543,-0.388,9.004,-11.53,-5.91,-33.38,Handlebar_Mount
TEL_000152,T006,2026-08-15 23:52:00,20,12.998583,77.532227,887.4,30.02,0.06,0.831,9.878,0.55,-3.52,-6.1,Handlebar_Mount
TEL_000153,T006,2026-08-15 23:53:00,21,12.998618,77.532253,878.1,32.94,-0.816,0.673,10.131,-7.83,9.73,14.73,Handlebar_Mount
TEL_000154,T006,2026-08-15 23:54:00,22,12.998638,77.532281,877.4,36.81,0.187,-0.536,10.325,17.59,-2.46,15.85,Handlebar_Mount
TEL_000155,T006,2026-08-15 23:55:00,23,12.998674,77.532229,886.4,33.78,0.64,0.186,9.165,0.05,5.42,-15.97,Handlebar_Mount
TEL_000156,T006,2026-08-15 23:56:00,24,12.998641,77.532276,879.1,30.55,1.331,0.254,9.692,-0.82,9.58,-11.7,Handlebar_Mount
TEL_000157,T007,2026-08-17 01:23:00,1,12.9977,77.527197,887.9,0.0,1.003,-0.213,9.394,3.91,-21.83,7.39,Handlebar_Mount
TEL_000158,T007,2026-08-17 01:24:00,2,12.997705,77.527205,886.4,9.85,-0.85,-0.203,9.713,-3.44,0.59,-13.5,Handlebar_Mount
TEL_000159,T007,2026-08-17 01:25:00,3,12.997725,77.527234,880.1,19.18,0.838,0.086,9.895,9.26,-11.26,3.81,Handlebar_Mount
TEL_000160,T007,2026-08-17 01:26:00,4,12.9977,77.527271,873.0,23.85,-1.016,-1.414,9.788,-3.55,-13.15,-11.73,Handlebar_Mount
TEL_000161,T007,2026-08-17 01:27:00,5,12.997725,77.527234,877.4,23.74,0.109,0.011,10.048,-6.22,-0.22,2.83,Handlebar_Mount
TEL_000162,T007,2026-08-17 01:28:00,6,12.99774,77.527257,873.8,28.92,0.594,0.434,10.258,-10.58,-13.38,0.43,Handlebar_Mount
TEL_000163,T007,2026-08-17 01:29:00,7,12.997706,77.527307,879.1,32.52,-0.251,0.26,10.446,-5.23,-10.83,8.83,Handlebar_Mount
TEL_000164,T007,2026-08-17 01:30:00,8,12.997664,77.527368,881.6,39.68,0.533,0.364,8.551,12.5,-7.14,23.3,Handlebar_Mount
TEL_000165,T007,2026-08-17 01:31:00,9,12.997685,77.527307,896.3,39.16,-0.026,-0.419,10.795,0.23,-0.62,-12.73,Handlebar_Mount
TEL_000166,T007,2026-08-17 01:32:00,10,12.997703,77.527334,882.1,34.26,0.131,0.594,10.383,-6.65,-1.28,19.08,Handlebar_Mount
TEL_000167,T007,2026-08-17 01:33:00,11,12.997725,77.527367,879.9,42.68,-0.143,0.933,9.925,8.03,28.0,-1.89,Handlebar_Mount
TEL_000168,T007,2026-08-17 01:34:00,12,12.997683,77.527428,879.4,39.94,0.285,-0.618,10.327,-11.04,-7.52,-13.6,Handlebar_Mount
TEL_000169,T007,2026-08-17 01:35:00,13,12.997643,77.52737,884.8,37.96,0.34,0.373,9.286,5.37,-2.67,4.89,Handlebar_Mount
TEL_000170,T007,2026-08-17 01:36:00,14,12.997674,77.527392,877.6,29.59,0.549,1.688,10.286,5.38,4.69,24.15,Handlebar_Mount
TEL_000171,T007,2026-08-17 01:37:00,15,12.997639,77.527418,878.6,33.47,0.865,0.785,9.355,-2.71,-19.11,5.97,Handlebar_Mount
TEL_000172,T007,2026-08-17 01:38:00,16,12.997677,77.527446,864.9,35.79,0.016,0.063,10.011,9.62,-10.26,-23.14,Handlebar_Mount
TEL_000173,T007,2026-08-17 01:39:00,17,12.997638,77.527389,874.2,36.71,-0.344,0.168,10.113,-7.79,5.72,11.3,Handlebar_Mount
